driver_id,driver_name,city,zone,onboarding_date,active_flag
1,Aryan Maharaj,Bhopal,Central,2025-08-07,1
2,Udant Dewan,Jaipur,North,2024-08-04,1
3,Gagan Sami,Bangalore,South,2025-08-09,1
4,Ayushman Chander,Hyderabad,South,2025-12-16,1
5,Viraj Tiwari,Delhi,North,2025-09-25,1
6,Rushil Saini,Mumbai,West,2025-11-28,1
7,Saumya Mall,Delhi,North,2025-08-31,1
8,Nathaniel Sami,Pune,West,2024-12-14,1
9,Arunima Dugal,Delhi,North,2024-12-06,0
10,Gayathri Chaudry,Bangalore,South,2024-08-05,1
11,Lajita Chatterjee,Bangalore,South,2025-03-16,1
12,Hemangini Lalla,Nagpur,Central,2025-10-03,1
13,Tripti Yadav,Kolkata,East,2024-06-12,1
14,Kritika Brar,Ahmedabad,West,2025-01-01,0
15,Janaki Handa,Delhi,North,2024-10-10,1
16,Chakradev Kari,Delhi,North,2024-06-22,0
17,Fariq Kaul,Kolkata,East,2025-03-14,0
18,Lajita Mall,Jaipur,North,2024-12-10,1
19,Janya Gaba,Mumbai,West,2025-04-15,1
20,Isha Kadakia,Lucknow,North,2025-10-21,1
21,Ekbal Garg,Mumbai,West,2025-02-17,1
22,Nihal Shere,Hyderabad,South,2025-01-05,1
23,Anamika Kanda,Ahmedabad,West,2024-12-27,1
24,Daksh Karnik,Bhopal,Central,2025-04-11,1
25,Diya Rattan,Delhi,North,2025-04-09,1
26,Dominic Kakar,Jaipur,North,2024-10-11,0
27,Simon Tata,Lucknow,North,2024-09-15,1
28,Tara Dhar,Lucknow,North,2024-07-15,0
29,Liam Koshy,Mumbai,West,2025-07-27,1
30,Priya Rastogi,Kolkata,East,2025-06-05,1
31,Theodore Devi,Jaipur,North,2024-08-07,0
32,Gavin Batta,Bangalore,South,2024-07-17,1
33,Michael Dutta,Lucknow,North,2024-06-22,1
34,Devansh Rajan,Mumbai,West,2025-03-29,1
35,Upadhriti Wadhwa,Mumbai,West,2025-07-10,1
36,Advay Contractor,Hyderabad,South,2024-06-02,0
37,Harini Choudhury,Pune,West,2024-08-07,1
38,Radhika Dugar,Delhi,North,2024-06-13,1
39,Aarush Lall,Kolkata,East,2025-03-27,1
40,Yashica Cherian,Chennai,South,2024-09-22,0
41,Yashica Issac,Pune,West,2024-12-22,0
42,Kashvi Edwin,Pune,West,2024-10-03,1
43,Ekiya Suresh,Nagpur,Central,2025-01-27,1
44,Isaac Patil,Chennai,South,2025-05-11,1
45,Wriddhish Bhardwaj,Bangalore,South,2025-06-11,1
46,Farhan Chada,Pune,West,2025-05-08,1
47,Ekapad Walia,Hyderabad,South,2025-09-10,1
48,Kabir Soman,Delhi,North,2025-04-07,1
49,Alka Wable,Bhopal,Central,2024-10-15,1
50,Siddharth Zacharia,Delhi,North,2024-07-19,0
51,Devika Rastogi,Mumbai,West,2025-09-27,1
52,Raksha Varughese,Jaipur,North,2024-10-29,0
53,Jai Kota,Mumbai,West,2024-10-09,1
54,Devansh Nigam,Indore,Central,2025-01-24,1
55,Victor Kannan,Mumbai,West,2025-06-01,1
56,Ekavir Bhargava,Delhi,North,2025-08-08,1
57,Ekansh Balay,Delhi,North,2025-09-19,0
58,Ekavir Varkey,Jaipur,North,2024-10-12,0
59,Arya Sunder,Mumbai,West,2024-08-27,1
60,Kevin Solanki,Nagpur,Central,2025-10-14,0
61,Urvashi Ray,Jaipur,North,2025-06-22,1
62,Girindra Chatterjee,Lucknow,North,2024-08-18,0
63,Irya Sampath,Mumbai,West,2025-11-18,1
64,Unni Bhagat,Lucknow,North,2025-12-25,1
65,Darsh Rau,Kolkata,East,2025-12-20,1
66,Ikbal Kothari,Mumbai,West,2025-10-22,1
67,Ranveer Yadav,Kolkata,East,2025-12-20,1
68,Logan Sami,Bhopal,Central,2025-09-08,1
69,Arya Shere,Hyderabad,South,2025-10-16,1
70,Faqid Savant,Jaipur,North,2025-08-08,1
71,Chandresh Zachariah,Patna,East,2025-10-01,0
72,Girik Khalsa,Chennai,South,2025-08-23,1
73,Niharika Sunder,Bangalore,South,2025-06-15,1
74,Tanay Rattan,Jaipur,North,2024-08-05,1
75,Nitesh Raghavan,Patna,East,2025-01-09,1
76,Madhavi Lanka,Indore,Central,2025-10-26,1
77,Bhavika Sampath,Delhi,North,2025-10-05,1
78,Mohammed Gupta,Indore,Central,2025-09-19,1
79,Teerth Bhardwaj,Lucknow,North,2024-08-18,1
80,Dipta Bhandari,Hyderabad,South,2024-10-10,1
81,Vansha Thakkar,Jaipur,North,2025-01-05,1
82,Dakshesh Trivedi,Pune,West,2025-12-02,1
83,Quincy Biswas,Delhi,North,2024-08-26,0
84,Wahab Raval,Chennai,South,2025-11-28,1
85,Yatin Baral,Bangalore,South,2025-01-15,1
86,Oni Virk,Chennai,South,2025-09-11,1
87,Advika Jayaraman,Pune,West,2024-11-12,1
88,William Lanka,Bhopal,Central,2024-07-13,0
89,Karan Mital,Hyderabad,South,2025-03-12,1
90,Diya Bora,Jaipur,North,2025-11-01,1
91,Tara Chaudhry,Chennai,South,2025-10-01,1
92,Tanay Toor,Mumbai,West,2025-01-17,1
93,Kevin Palla,Hyderabad,South,2024-07-10,0
94,Yash Pingle,Chennai,South,2025-03-09,1
95,Nakul Sarma,Pune,West,2025-06-05,0
96,Abhiram Mistry,Bangalore,South,2024-09-28,1
97,Krish Lalla,Lucknow,North,2025-02-14,1
98,Hredhaan Dugal,Chennai,South,2025-04-23,1
99,Baghyawati Kade,Indore,Central,2025-05-16,1
100,Samar Lalla,Chennai,South,2025-10-27,1
101,Zayan Behl,Pune,West,2025-07-25,1
102,Pallavi Malhotra,Bangalore,South,2025-11-05,1
103,Aarush Nath,Delhi,North,2024-08-26,0
104,Adweta Edwin,Bangalore,South,2025-09-11,1
105,Prisha Andra,Chennai,South,2025-01-15,0
106,Faqid Dixit,Delhi,North,2025-03-15,1
107,Kala Divan,Delhi,North,2024-09-25,1
108,Joshua Barman,Mumbai,West,2025-12-04,1
109,Janya Baral,Kolkata,East,2025-12-21,1
110,Shivansh Krish,Mumbai,West,2024-07-02,1
111,Irya Ray,Mumbai,West,2025-10-24,1
112,Warjas Gaba,Bangalore,South,2025-07-18,1
113,Nitara Bakshi,Delhi,North,2025-04-16,1
114,Gaurangi Sabharwal,Chennai,South,2024-07-12,1
115,Amara Dutta,Chandigarh,North,2025-02-09,1
116,Lavanya Barad,Chennai,South,2024-09-18,1
117,Tristan Iyengar,Bangalore,South,2025-05-23,1
118,Inaya Mody,Chennai,South,2025-10-10,0
119,Udant Bajwa,Mumbai,West,2025-04-23,1
120,Mohini Narasimhan,Bangalore,South,2025-11-05,1
121,Ekaraj Mallick,Pune,West,2025-05-06,1
122,Yashodhara Ratta,Jaipur,North,2024-12-15,1
123,Ayaan D’Alia,Mumbai,West,2024-09-17,1
124,Pranav Lanka,Pune,West,2025-12-05,1
