driver_id,driver_name,successful_deliveries,avg_delay_minutes
75,Nitesh Raghavan,220,90.2
140,Yasti Solanki,219,109.38
475,Hardik Nayak,212,141.75
460,Vivaan Walla,202,138.25
312,Lakshmi Parmer,199,71.33
181,Inaya Kapur,198,127.25
459,Sachi Mane,194,127
492,Amol Parikh,173,153.4
128,Chaitanya Sarin,169,125.2
212,Jyoti Solanki,168,100.33
268,Jairaj Balakrishnan,167,138.5
228,Dhruv Rattan,166,61
43,Ekiya Suresh,165,93
49,Alka Wable,164,27
468,Anjali Sengupta,164,86
334,Nilima Dada,164,148.29
89,Karan Mital,164,168.33
413,Nidhi Bail,163,46.75
420,Yashvi Hari,163,84.69
245,Ekbal Bhasin,161,153.33
68,Logan Sami,161,144.5
253,Parth Singhal,161,140.17
22,Nihal Shere,160,172.5
241,Barkha Setty,158,117
419,Om Bose,157,165.18
47,Ekapad Walia,157,90.4
481,Indrajit Mani,156,86
322,Kevin Zacharia,156,165
160,Faris Devi,155,223
296,Radha Chaudhari,155,115.67
300,Kavya Sankar,155,112
282,Krishna Shah,155,125.13
336,Waida Dâ€™Alia,153,100.4
299,Daksh Memon,153,159.25
12,Hemangini Lalla,152,61.5
1,Aryan Maharaj,151,188.5
115,Amara Dutta,151,136
384,Ishwar Mallick,151,135.5
354,Karan Aurora,151,116
144,Aryan Batra,151,122.17
263,Turvi Sachdev,150,NULL
24,Daksh Karnik,150,210
271,Ishaan Shenoy,150,156.2
72,Girik Khalsa,150,113.5
281,Veda Pai,150,132.75
4,Ayushman Chander,149,157.67
330,Adweta Raj,148,79.29
173,Avi Ramesh,148,58
348,Gauri Kohli,148,112.46
10,Gayathri Chaudry,146,100.08
367,Anvi Nair,146,92.33
310,Chasmum Issac,146,105.5
240,Bachittar Kata,145,68.4
238,Naksh Agate,145,105.5
172,Noah Sibal,145,131.15
275,Tanmayi Dhillon,145,93.8
162,Tanish Bhatt,144,96.5
64,Unni Bhagat,144,92.86
387,Dayamai Nori,144,142.33
250,Rachana Naidu,144,132.83
344,Jhalak Parmer,144,237
462,Jhalak Sastry,143,102.36
11,Lajita Chatterjee,143,121
496,Ucchal Srinivas,143,91.09
403,Charvi Kakar,143,114.6
395,Chandran Bumb,143,119.8
158,Faras Mangal,142,96
96,Abhiram Mistry,140,130
117,Tristan Iyengar,140,97.78
177,Siddharth Sha,140,134.75
411,Dhriti Sanghvi,140,132.55
440,Januja Pradhan,140,170.5
351,Manbir Agate,139,9
269,Nathan Mukhopadhyay,139,101.13
451,Pranit Kala,139,105.67
446,Inaya Mukherjee,138,96.63
226,Harini Gour,138,51
448,Krisha Narasimhan,138,103.29
229,Ethan Bera,138,113
436,David Seshadri,137,165
363,Varenya Ratti,137,152.3
32,Gavin Batta,137,106.44
45,Wriddhish Bhardwaj,137,146.2
236,Aishani Bumb,137,110.63
401,Chakradev Kannan,137,156
285,Eesha Solanki,137,136.71
404,Aadhya Mann,137,148.64
329,Jatin Sha,136,157.2
165,Osha Ramachandran,136,118.67
277,Ekaraj Majumdar,136,123.86
94,Yash Pingle,135,131.38
338,Lipika Setty,135,123.33
447,Kai Chad,135,79.86
350,Tarak Kaul,135,104
342,Teerth Sawhney,134,32
205,Harini Mammen,134,127.25
463,Baghyawati Raja,134,109
239,Shravya Singhal,134,77
114,Gaurangi Sabharwal,133,133.5
186,Aahana Pillay,133,139.5
69,Arya Shere,133,151.91
347,Simon Bail,133,113.75
209,Vritti Sem,132,125.6
265,Wishi Sathe,132,90
135,Osha Raghavan,131,124.29
161,Vihaan Rajagopal,131,121.8
86,Oni Virk,131,119.69
7,Saumya Mall,131,139.8
323,Yachana Mahajan,131,149.43
150,Zarna Shetty,131,162.33
138,Qushi Nagy,130,177
202,Gayathri Balakrishnan,130,144
267,Bhavna Sarma,130,113
352,Maanav De,130,110.25
126,Dipta Sarin,130,79.75
33,Michael Dutta,130,74
116,Lavanya Barad,130,112.75
358,Devansh Soni,130,184.17
100,Samar Lalla,130,134.33
435,Ekanta Soni,130,129.14
349,Samesh Biswas,129,114.33
122,Yashodhara Ratta,129,22
417,Farhan Randhawa,129,68.6
159,Anita Nayak,128,146.29
480,Mason Wable,128,114.33
213,Pavani Narayanan,128,177
368,Chaitaly Setty,128,92.8
193,Kamala Biswas,128,154.67
418,Harinakshi Kant,127,126.43
112,Warjas Gaba,127,110.88
3,Gagan Sami,127,72.2
373,Dhriti Sane,127,160.5
262,Netra Varkey,127,174.86
210,Girik Menon,127,92.75
230,Manthan Modi,127,177
449,Girik Sampath,127,120.57
220,Utkarsh Patel,127,116.78
120,Mohini Narasimhan,126,123.11
218,Veda Malhotra,126,136.67
73,Niharika Sunder,126,89.33
85,Yatin Baral,126,112.46
232,Upkaar Virk,126,147.5
434,Benjamin Sengupta,126,108
302,Pranit Garde,126,110.5
27,Simon Tata,126,121
311,Vasudha Chhabra,126,75
157,William Maharaj,126,80
474,Udarsh Bala,125,159
490,Madhavi Singhal,125,99.4
98,Hredhaan Dugal,125,131.2
328,Megha Atwal,125,114.67
301,Yash Wali,125,225
321,Ojasvi Gill,125,145
175,Triya Gopal,125,93
74,Tanay Rattan,124,100.67
280,Vrishti Dixit,124,69.75
178,Geetika Raghavan,124,127.43
476,Laksh Barad,124,120.56
426,Diya Dora,124,155
340,Hardik Suri,124,129.17
79,Teerth Bhardwaj,124,137.14
184,William Date,123,82.6
341,Ati Bali,123,125.38
429,Indira Tripathi,123,93.75
398,Tanveer Vala,123,122.5
286,Libni Doshi,123,154.5
266,Samar Loke,123,42
346,Jason Sha,122,114
376,Frederick Chander,122,138.17
153,Saanvi Thaman,122,85.5
397,Riya Sachdeva,122,100
84,Wahab Raval,122,117.75
353,Owen Choudhary,122,124.5
204,Simon Pant,122,128.14
80,Dipta Bhandari,122,54.75
273,Yashodhara Mahajan,121,152
154,Sanaya Dutt,121,116.33
104,Adweta Edwin,121,130.6
378,Darpan Narayan,120,120.56
272,Mitesh Tara,120,134.4
438,Balveer Kota,120,91.17
237,Wriddhish Ghose,120,124.2
405,Jagdish Amble,120,120.8
308,Riya Pai,120,111.71
169,Vinaya Kanda,120,136.5
337,Wahab Yogi,120,70.5
246,Damyanti Mani,120,73.75
422,Harshil Dhingra,120,125.38
467,Bhavani Chacko,120,45
430,Dayita Shenoy,120,79.9
389,Nandini Boase,119,129.25
102,Pallavi Malhotra,119,110
369,Hardik Contractor,119,176.17
125,Ikbal Saraf,119,150.83
482,Charvi Dara,119,137.67
425,Ucchal Sen,119,131.14
361,Caleb Verma,118,NULL
91,Tara Chaudhry,118,129.33
499,Caleb Iyengar,118,127.2
97,Krish Lalla,118,71.33
244,Manthan Lata,118,117.43
188,Hritik Bal,118,57
152,Kiaan Shetty,118,NULL
318,Balveer More,117,181.14
19,Janya Gaba,117,107.67
279,Aarnav Mandal,117,82
127,Lekha Gupta,117,128.75
416,Yagnesh Sarin,115,184.5
182,Banjeet Balasubramanian,115,135.6
145,Vaishnavi Bora,115,107
